Feature_Name,Relief_Importance_Value
tqwt_stdValue_dec_26,1.930043368396204
tqwt_maxValue_dec_18,1.8831325793904272
tqwt_TKEO_std_dec_18,1.8672855469445386
tqwt_minValue_dec_18,1.842430307758486
tqwt_stdValue_dec_17,1.822528007248749
tqwt_stdValue_dec_18,1.8191388834057567
tqwt_TKEO_mean_dec_26,1.8167937741355407
tqwt_entropy_shannon_dec_17,1.8037838473363554
tqwt_maxValue_dec_17,1.802825727113058
tqwt_stdValue_dec_19,1.7689911069337667
tqwt_maxValue_dec_8,1.7523143306272777
tqwt_minValue_dec_17,1.749312941383991
tqwt_TKEO_mean_dec_19,1.7488440629171658
tqwt_entropy_shannon_dec_16,1.7461920457352111
tqwt_minValue_dec_8,1.723315641677094
tqwt_stdValue_dec_20,1.7200103318899829
tqwt_maxValue_dec_19,1.7196490461250893
tqwt_TKEO_std_dec_20,1.7141324241127474
tqwt_minValue_dec_19,1.702388049983655
tqwt_TKEO_std_dec_19,1.70229351892444
tqwt_stdValue_dec_16,1.6964254106882382
tqwt_minValue_dec_20,1.6930640583955605
tqwt_TKEO_mean_dec_18,1.6860221476547785
tqwt_TKEO_std_dec_17,1.6844463242829435
tqwt_minValue_dec_26,1.665868619499995
tqwt_stdValue_dec_27,1.6614848982857402
tqwt_maxValue_dec_20,1.6516192681746948
tqwt_entropy_shannon_dec_20,1.6415424950719464
tqwt_maxValue_dec_26,1.639006750647414
tqwt_TKEO_mean_dec_27,1.6373002092195972
tqwt_TKEO_mean_dec_20,1.633386907655786
tqwt_TKEO_mean_dec_21,1.630471795208906
tqwt_entropy_log_dec_27,1.6288229724901013
tqwt_minValue_dec_7,1.6238017281287096
tqwt_TKEO_mean_dec_28,1.617492355986516
tqwt_entropy_shannon_dec_18,1.6135499086663327
tqwt_maxValue_dec_7,1.6125763245459002
tqwt_maxValue_dec_27,1.6035891643344333
tqwt_TKEO_std_dec_27,1.5944341918215916
tqwt_entropy_shannon_dec_19,1.594009465575094
tqwt_stdValue_dec_14,1.586521906702849
tqwt_entropy_shannon_dec_27,1.5863681721507872
tqwt_minValue_dec_27,1.5825403273985983
tqwt_maxValue_dec_9,1.579455330012321
tqwt_TKEO_std_dec_28,1.5768259505570845
tqwt_minValue_dec_9,1.5753138801228632
meanPeriodPulses,1.5722735755253072
tqwt_stdValue_dec_28,1.5699105029222147
tqwt_entropy_log_dec_26,1.5656820918543624
tqwt_TKEO_mean_dec_29,1.5647742398040752
tqwt_entropy_shannon_dec_28,1.5645495486743732
tqwt_entropy_shannon_dec_29,1.553708774673735
tqwt_TKEO_std_dec_29,1.5510699495126117
tqwt_stdValue_dec_13,1.5509070688954383
tqwt_TKEO_mean_dec_17,1.5462646710646486
tqwt_entropy_shannon_dec_14,1.543518985587078
tqwt_maxValue_dec_13,1.5388263682053016
tqwt_minValue_dec_16,1.5357999234163044
tqwt_TKEO_mean_dec_16,1.527024064153726
tqwt_maxValue_dec_16,1.5269453788254042
tqwt_TKEO_mean_dec_30,1.5260128865505445
tqwt_minValue_dec_14,1.5255161778965045
tqwt_stdValue_dec_7,1.5207109953603006
tqwt_TKEO_std_dec_8,1.5197243190096752
tqwt_TKEO_std_dec_7,1.518965817876531
tqwt_TKEO_mean_dec_7,1.5185860830031237
tqwt_energy_dec_26,1.5175150127948525
tqwt_stdValue_dec_15,1.5158644550930773
tqwt_minValue_dec_13,1.5145162215539847
tqwt_medianValue_dec_29,1.5129975431435059
app_entropy_shannon_1_coef,1.511957599261613
tqwt_maxValue_dec_14,1.5110373318437786
tqwt_entropy_shannon_dec_26,1.50715745955192
tqwt_medianValue_dec_28,1.5063824209887362
tqwt_entropy_shannon_dec_7,1.5044627440074811
tqwt_entropy_shannon_dec_15,1.502478031476624
tqwt_entropy_log_dec_12,1.5012558536155962
tqwt_stdValue_dec_29,1.5011656080958309
tqwt_TKEO_mean_dec_8,1.4952141827779943
tqwt_energy_dec_29,1.4952012373402381
app_entropy_shannon_2_coef,1.4946948171829908
tqwt_medianValue_dec_27,1.4876835593830413
tqwt_minValue_dec_28,1.4832715506992702
tqwt_entropy_shannon_dec_13,1.481506857332645
tqwt_energy_dec_16,1.4746164141487341
tqwt_stdValue_dec_8,1.4743338484650241
tqwt_maxValue_dec_28,1.4675526216913435
app_entropy_shannon_3_coef,1.4607395369112606
tqwt_energy_dec_27,1.4590089171654113
tqwt_TKEO_std_dec_26,1.4574825380867624
tqwt_TKEO_std_dec_21,1.454484797925228
tqwt_stdValue_dec_21,1.4504424570640688
tqwt_entropy_log_dec_13,1.4476387892282236
tqwt_TKEO_std_dec_4,1.4449121297597698
tqwt_TKEO_std_dec_30,1.4421999712529179
tqwt_TKEO_std_dec_16,1.4364278874124896
tqwt_TKEO_std_dec_6,1.4348715207719291
tqwt_TKEO_std_dec_3,1.4264199084749984
app_LT_TKEO_std_7_coef,1.425577872235708
tqwt_kurtosisValue_dec_10,1.4237351041840982
tqwt_meanValue_dec_28,1.4174115077206777
tqwt_entropy_shannon_dec_8,1.4147484988358632
tqwt_skewnessValue_dec_10,1.413224044775462
det_LT_entropy_log_10_coef,1.4116551051836181
tqwt_TKEO_mean_dec_3,1.4116459272739459
tqwt_meanValue_dec_27,1.4104890217438255
app_entropy_shannon_4_coef,1.4092633828859509
VFER_NSR_SEO,1.4072416700103016
tqwt_entropy_log_dec_17,1.406063624529243
tqwt_minValue_dec_1,1.4034776939652152
tqwt_TKEO_std_dec_14,1.402683867782432
tqwt_TKEO_mean_dec_14,1.4017999213509733
VFER_SNR_TKEO,1.3992750180249538
tqwt_minValue_dec_29,1.39914013471823
tqwt_minValue_dec_15,1.3958138402035964
det_LT_entropy_log_7_coef,1.3942936701012765
tqwt_entropy_shannon_dec_21,1.3925786607935542
tqwt_medianValue_dec_30,1.3921874168086343
tqwt_maxValue_dec_29,1.3912726653500647
tqwt_stdValue_dec_12,1.3907232554641187
app_LT_TKEO_std_9_coef,1.38730748420137
tqwt_meanValue_dec_26,1.385851094671117
tqwt_entropy_log_dec_16,1.3846001019774428
tqwt_kurtosisValue_dec_5,1.3799298114919825
maxIntensity,1.3749112340868792
tqwt_kurtosisValue_dec_3,1.3737901901433869
det_LT_entropy_log_9_coef,1.3693977255921903
tqwt_kurtosisValue_dec_4,1.3686253956217684
tqwt_minValue_dec_3,1.3672826144080064
det_entropy_log_10_coef,1.367046297894169
tqwt_entropy_shannon_dec_3,1.3645687618738054
tqwt_kurtosisValue_dec_2,1.3610295598719606
tqwt_kurtosisValue_dec_6,1.3593747040039095
det_LT_entropy_log_8_coef,1.3584238819985712
app_TKEO_std_10_coef,1.3556830909563526
tqwt_meanValue_dec_29,1.3545824865632494
tqwt_maxValue_dec_15,1.3513457170417043
app_entropy_shannon_5_coef,1.3494057013439116
app_LT_TKEO_std_10_coef,1.3490207281226685
app_det_TKEO_mean_10_coef,1.3474745498413647
tqwt_medianValue_dec_18,1.34319972115527
tqwt_skewnessValue_dec_9,1.3409091051893567
f1,1.3399562997855101
tqwt_kurtosisValue_dec_1,1.339216612579918
det_entropy_log_9_coef,1.3370470261538927
tqwt_entropy_log_dec_18,1.3360899881204142
tqwt_energy_dec_28,1.332872765867028
app_LT_TKEO_mean_10_coef,1.331998208836242
tqwt_skewnessValue_dec_11,1.3307813765662533
tqwt_kurtosisValue_dec_11,1.3294112138801475
mean_MFCC_2nd_coef,1.3273571652043046
tqwt_maxValue_dec_12,1.325941725467418
tqwt_minValue_dec_21,1.3248831794962252
tqwt_TKEO_mean_dec_4,1.3215285140039097
tqwt_medianValue_dec_19,1.3205404026039227
app_LT_TKEO_mean_8_coef,1.3199155934000384
tqwt_minValue_dec_12,1.319863591823165
det_entropy_log_8_coef,1.3197627883797993
app_LT_TKEO_mean_9_coef,1.3197330644933691
tqwt_entropy_log_dec_14,1.3196546254269506
tqwt_kurtosisValue_dec_12,1.3142420850127015
app_det_TKEO_mean_9_coef,1.3134441830687806
tqwt_maxValue_dec_3,1.311838811630319
tqwt_maxValue_dec_1,1.3105467459409577
tqwt_kurtosisValue_dec_9,1.3087300281468308
tqwt_skewnessValue_dec_1,1.308631391726538
tqwt_TKEO_mean_dec_15,1.3056399527708864
app_LT_entropy_shannon_4_coef,1.3055863155979364
app_TKEO_std_9_coef,1.305303586749851
tqwt_entropy_shannon_dec_22,1.305004731903218
app_entropy_shannon_6_coef,1.3040388494890705
app_det_TKEO_mean_8_coef,1.3020423698939472
tqwt_skewnessValue_dec_2,1.2986263804137257
tqwt_meanValue_dec_25,1.2914771961657856
app_entropy_shannon_7_coef,1.288583687418225
tqwt_skewnessValue_dec_4,1.2869826056573412
app_LT_entropy_shannon_3_coef,1.2859497539950946
tqwt_TKEO_std_dec_15,1.2822365654879082
app_LT_entropy_shannon_5_coef,1.282236144255566
tqwt_energy_dec_7,1.2810498167154631
tqwt_skewnessValue_dec_6,1.2805390261725011
det_entropy_log_7_coef,1.2795036907317843
tqwt_medianValue_dec_17,1.2780559541504757
tqwt_TKEO_mean_dec_6,1.2780084100596496
app_entropy_shannon_10_coef,1.2779141948351
app_entropy_shannon_9_coef,1.2772181233609314
app_entropy_shannon_8_coef,1.2768110640260828
tqwt_entropy_log_dec_28,1.2763392832544542
tqwt_energy_dec_14,1.276303659790986
tqwt_entropy_shannon_dec_12,1.2758113734544887
tqwt_medianValue_dec_26,1.2748114635782766
tqwt_meanValue_dec_1,1.2722673719445081
tqwt_energy_dec_17,1.2702004714887734
EEG,1.2684067178231042
tqwt_TKEO_std_dec_9,1.2683859084552067
app_LT_TKEO_std_8_coef,1.2636617947423197
tqwt_medianValue_dec_20,1.263023250263866
tqwt_entropy_log_dec_15,1.2628821874829985
tqwt_stdValue_dec_3,1.2599558500086792
tqwt_maxValue_dec_10,1.255856584011421
tqwt_minValue_dec_10,1.2558129998054228
tqwt_TKEO_std_dec_1,1.254454839887224
IMF_SNR_SEO,1.2537950852536204
tqwt_TKEO_std_dec_2,1.2532888344978248
tqwt_energy_dec_21,1.251584819089394
GNE_mean,1.249137222189661
meanIntensity,1.2485758955252897
b3,1.246754991754462
tqwt_kurtosisValue_dec_8,1.2452942822127315
tqwt_meanValue_dec_20,1.24397292275346
tqwt_maxValue_dec_21,1.2424556814891161
VFER_SNR_SEO,1.2401994178598148
tqwt_TKEO_mean_dec_2,1.239275009003936
tqwt_TKEO_std_dec_13,1.2384499314005284
tqwt_entropy_log_dec_5,1.2374366109835127
tqwt_skewnessValue_dec_5,1.2373967141873738
tqwt_entropy_log_dec_6,1.2335117305270025
tqwt_entropy_shannon_dec_2,1.233435050451072
app_LT_entropy_shannon_2_coef,1.2329048082227863
mean_MFCC_3rd_coef,1.2315065380553814
tqwt_entropy_log_dec_22,1.2298267012713924
app_LT_TKEO_mean_7_coef,1.2291470641744706
tqwt_minValue_dec_2,1.2280063467423374
tqwt_skewnessValue_dec_8,1.2273516787423775
tqwt_medianValue_dec_22,1.2225472920581666
app_LT_entropy_shannon_6_coef,1.21796088996345
det_LT_entropy_log_5_coef,1.217105403454082
tqwt_meanValue_dec_18,1.2146831827345892
tqwt_maxValue_dec_11,1.2145366477268347
det_LT_entropy_log_6_coef,1.2099280890644089
tqwt_meanValue_dec_7,1.2090743029798727
tqwt_entropy_log_dec_11,1.206852462565126
tqwt_skewnessValue_dec_30,1.205326344723465
tqwt_minValue_dec_11,1.2030984307875134
tqwt_TKEO_mean_dec_13,1.2029611054776594
tqwt_meanValue_dec_16,1.1991827338579184
app_TKEO_std_8_coef,1.192688803259922
RPDE,1.1923398543941897
app_LT_entropy_shannon_7_coef,1.1919433983023169
app_LT_entropy_shannon_1_coef,1.1909049310277464
tqwt_entropy_log_dec_7,1.1871828377907006
std_8th_delta_delta,1.1862070733170254
IMF_SNR_entropy,1.1854895674719557
tqwt_medianValue_dec_14,1.1853765305285717
tqwt_stdValue_dec_25,1.183468564644448
tqwt_entropy_log_dec_8,1.181573266474727
tqwt_TKEO_std_dec_5,1.1809457815505777
tqwt_kurtosisValue_dec_7,1.1787804993081714
tqwt_kurtosisValue_dec_27,1.1787534674230935
mean_MFCC_9th_coef,1.1781123038212333
